Gene.symbol	Gene.ID	adj.P.Val	P.Value	logFC
PRO2012	55478	1.33784978286131e-09	1.86266638497444e-12	-3.50055684355556
MYCT1	80177	1.64867907398877e-09	2.34643845807628e-12	-5.55381216261111
ABI3BP	25890	1.65107659663097e-09	2.40093437831922e-12	-1.66470489877778
NAP1L2	4674	1.77608601322418e-09	2.63766989371494e-12	-2.634756757
MAN2B1	4125	2.60849061768362e-09	3.9545818590544e-12	1.93205222955556
STAC	6769	3.03247005290805e-09	4.69117609744136e-12	-1.47899983538889
SYTL4	94121	3.12592534232564e-09	4.93246472753342e-12	-3.10377885216667
		3.56648626981104e-09	5.75017381903184e-12	-1.27524154411111
TCTEX1D1	200132	3.56648626981104e-09	5.84832685560425e-12	-3.67109859838889
IL12RB2	3595	5.84579500090789e-09	9.76680579341685e-12	-4.03474281483333
KLF3-AS1	79667	6.10372070881764e-09	1.03865795917506e-11	-3.03993466994445
TMEM136///TMEM136	219902///219902	7.80480035855364e-09	1.35918186338492e-11	-2.88016566788889
STARD9	57519	7.80480035855364e-09	1.37642282242987e-11	-2.6232532995
STARD9	57519	8.00551266284323e-09	1.43658839282481e-11	-2.65592077622222
PLS3	5358	8.02301079380057e-09	1.46455133453245e-11	-2.57121711533333
ARMC4	55130	8.07263765897569e-09	1.49858686160249e-11	-1.55757079688889
CXorf57	55086	1.08910093530733e-08	2.05547962791211e-11	-2.15286751011111
PGM5P2///PGM5	595135///5239	1.33324515412342e-08	2.55750748911395e-11	-3.47905136172222
ARMCX1	51309	1.45901798853103e-08	2.84391365605813e-11	-2.530642614
ECRP///ECRP	643332///643332	1.59004965145993e-08	3.14851575425993e-11	4.24850250016667
QSOX1	5768	1.74984985818878e-08	3.51908173578389e-11	2.17343817755556
HTR1F	3355	1.8214690774658e-08	3.71946904838163e-11	-4.08330626688889
ATP11A	23250	2.21240800326137e-08	4.58622370033451e-11	2.02648313877778
PLA2R1	22925	2.34213430509325e-08	4.9276053570849e-11	-1.64227840327778
STARD9	57519	2.62069183075671e-08	5.59474447950907e-11	-2.89634420705556
PDZRN4	29951	2.84324964482822e-08	6.15783778775332e-11	-1.45980796511111
CP	1356	2.85250638421281e-08	6.26614130995668e-11	-2.84665700283333
ATP9A	10079	2.94754419468478e-08	6.56610816550553e-11	-2.65819950888889
FAM107B	83641	2.95661718311246e-08	6.67779630479285e-11	2.82746597544444
RNF17	56163	3.02644344806009e-08	6.92914251280737e-11	-1.48132849744444
BEX5	340542	3.22008179159034e-08	7.47211207478963e-11	-2.28771540088889
JAM2	58494	3.55799964106693e-08	8.36632445534131e-11	-1.96624245283333
L3MBTL4	91133	3.97820250330221e-08	9.47747881421584e-11	-3.19057578333333
SLC25A27	9481	5.0277569363357e-08	1.2133443922966e-10	-3.00860672877778
BEND7	222389	5.2303964293978e-08	1.27842986888533e-10	-2.01595482694444
VWDE	221806	7.76934143768466e-08	1.92304481610957e-10	-3.99593663838889
LTBP3	4054	8.57279136086547e-08	2.14843631146964e-10	-2.01958679533334
PLD1	5337	1.03920294775404e-07	2.6365100620597e-10	2.51772861127778
		1.22680122559797e-07	3.15041309751032e-10	-3.11516283433333
CYYR1	116159	1.23842311038317e-07	3.21857434089868e-10	-3.74533917566667
		1.28572371174741e-07	3.38128509323751e-10	-2.46461376233333
TSPYL5	85453	1.42916636949271e-07	3.80273839845217e-10	-3.0499908065
ENO2	2026	1.64678748040208e-07	4.4327375636577e-10	-2.15055079755556
		1.7298636329523e-07	4.70987901673224e-10	2.08102628761111
TLR2	7097	2.03314552175454e-07	5.59852577074206e-10	2.89160312355556
GPC5	2262	2.06658395972423e-07	5.78075045726824e-10	-1.85512639205556
CCDC175	729665	2.06658395972423e-07	5.81848149298922e-10	-2.18676656588889
C3AR1	719	2.13281888220411e-07	6.07095501880443e-10	4.03608085088889
SEPT5-GP1BB	100526833	2.14907107542175e-07	6.18370749711404e-10	-2.52482401466667
TSPAN6	7105	2.32275731073699e-07	6.75533514462043e-10	-1.60834368872222
LDOC1	23641	2.61329891008352e-07	7.6811793093634e-10	-1.6924170925
REC8	9985	2.63498641176655e-07	7.82645015716064e-10	-2.32450494572222
PRR11	55771	2.65479654614243e-07	7.9674287607381e-10	2.96374122755556
ACPP	55	3.17418459807104e-07	9.62439561309865e-10	3.02392925211111
METTL24	728464	3.52298348444172e-07	1.07909831057124e-09	-1.77683679722222
DGKD	8527	3.59470702657191e-07	1.112189296919e-09	1.41758827277778
TRIM74///TRIM73///TRIM50	378108///375593///135892	3.98408912477969e-07	1.24856566349367e-09	-1.80105584516667
TNFRSF1B	7133	3.98408912477969e-07	1.25731595782163e-09	2.66094364438889
TMEM163	81615	4.5107766086048e-07	1.43748643509265e-09	-2.60430481933333
MTURN	222166	5.36193298756281e-07	1.72532109373637e-09	-2.913332789
SH3KBP1	30011	6.17888411506591e-07	2.007310516636e-09	1.52952036761111
MCF2L2	23101	7.53779750538141e-07	2.4720971986338e-09	-1.529122043
MAP2K7	5609	8.20406605474235e-07	2.72073923261375e-09	1.36132732844444
PTPRJ	5795	8.20406605474235e-07	2.74137289660646e-09	2.80255804422222
HMGN2	3151	8.42216037452151e-07	2.84030655246696e-09	1.61603412611111
FIGN	55137	8.50761575727375e-07	2.91110898801801e-09	-1.22122099066667
FHL1	2273	8.50761575727375e-07	2.92177020840131e-09	-3.542145431
CALN1	83698	8.78642177135029e-07	3.04470541874086e-09	-2.198106774
FLNA	2316	9.34270794876594e-07	3.266377891187e-09	1.40832116283334
VWA2	340706	9.37714076155782e-07	3.30742875164008e-09	-1.19465742544444
LRRN1	57633	9.73636357280814e-07	3.47518758619564e-09	-2.61089097483333
PDK1	5163	9.73636357280814e-07	3.49437880772793e-09	2.09366154027778
ITGB2	3689	1.02157669110843e-06	3.69804377524479e-09	2.33272565516667
		1.03900190584788e-06	3.79326830512825e-09	-1.05227679672222
ZNF300	91975	1.11810458615409e-06	4.11665622203324e-09	-2.25819040022222
MNDA	4332	1.17420315262121e-06	4.35953028416648e-09	4.30201230822222
NLGN1	22871	1.19266104189164e-06	4.47090467549261e-09	-0.967074688388889
PCYT1B	9468	1.19266104189164e-06	4.54355883582891e-09	-2.14248594188889
TYROBP	7305	1.19266104189164e-06	4.54931126300412e-09	2.78671463333333
SYDE2	84144	1.19266104189164e-06	4.57566192860877e-09	-1.4738590015
PCDH9	5101	1.27571286791847e-06	4.93376159431357e-09	-1.47935979761111
MIPOL1	145282	1.27859145071166e-06	4.98445353762785e-09	-1.1197880595
		1.29047020602285e-06	5.07068828826156e-09	-3.28283344483333
FGD5	152273	1.31276577739247e-06	5.19891152830161e-09	-2.04185013277778
PGM5	5239	1.524935113183e-06	6.09483822097629e-09	-2.11143035911111
DPPA4	55211	1.524935113183e-06	6.13352200469635e-09	-3.70729284966667
GATS	352954	1.54200346258735e-06	6.27733584408784e-09	-1.37371631461111
STAC3	246329	1.54200346258735e-06	6.29759156775876e-09	1.68825048838889
PRKCA	5578	1.58053261600704e-06	6.50384697035785e-09	2.62459167844444
ZNRF1	84937	1.59318988229158e-06	6.60522397905609e-09	-1.46821119855556
UCHL1	7345	1.62833978775557e-06	6.80133261183137e-09	-2.40525458905556
FBN1	2200	1.64083005317399e-06	6.90426927482636e-09	-2.21190620811111
		1.71660004932835e-06	7.2762045344508e-09	-2.38875149933333
FAM46A	55603	1.82354622680308e-06	7.78594038856549e-09	2.13278366911111
TRO	7216	1.89106622482948e-06	8.13273739213818e-09	-1.94933051411111
FNDC3B	64778	1.89708563579591e-06	8.21731966868066e-09	2.02647358005555
NCF2	4688	1.95619584984602e-06	8.53388245500725e-09	3.79404372422222
FAM169A	26049	1.95769612354458e-06	8.60099778915659e-09	-3.10576538638889
OSCAR	126014	1.97820595854336e-06	8.75231125496426e-09	1.55007564555556
CAMLG	819	2.09148860894692e-06	9.3233150290079e-09	-1.80671454705556
THRB	7068	2.09148860894692e-06	9.38293519065943e-09	-1.95737365
POTEF///POTEJ///POTEM///POTEE///POTEKP	728378///653781///641455///445582///440915	2.14008028669807e-06	9.66714278202774e-09	1.66777954277778
IL1RAP	3556	2.22359875472533e-06	1.0113208655197e-08	2.57156709988889
SIRPA	140885	2.3584633198412e-06	1.07995597703195e-08	2.03611367011111
SERPINE2	5270	2.42467576960917e-06	1.12005938076845e-08	-2.95298163861111
OBSCN	84033	2.42467576960917e-06	1.12527881390234e-08	-1.05245024455555
GCNT2	2651	2.46926471833116e-06	1.15361211740975e-08	-2.50409863494445
SEMA3C	10512	2.5009411896655e-06	1.17614882221824e-08	-2.19111136627778
AASS	10157	2.59590564162464e-06	1.23111397768051e-08	-3.75011710411111
		2.59590564162464e-06	1.23687221561893e-08	-2.05946082733334
TVP23A	780776	2.81277585150964e-06	1.34890707893937e-08	-1.67394623477778
ARHGEF17	9828	2.81358641438435e-06	1.35800093018149e-08	-1.42430922555555
C10orf10	11067	2.89275067240286e-06	1.40820042418075e-08	-2.93285814283333
GRN	2896	2.89275067240286e-06	1.41411035004997e-08	2.24843667866667
MIR24-2	407013	2.89746880202497e-06	1.4303294448827e-08	-3.61649140277778
CD68	968	2.89746880202497e-06	1.43434611653103e-08	2.65595269888889
PACRG	135138	2.93945764200663e-06	1.46714116235327e-08	-1.52040033644444
NSUN7	79730	2.93945764200663e-06	1.47332117819707e-08	-1.62297949161111
SLC2A9	56606	3.02522334456995e-06	1.52566877622877e-08	2.08586504122222
RNPEP	6051	3.16433654693624e-06	1.61473045903748e-08	1.30733498811111
TXNRD3NB///TXNRD3	645840///114112	3.16433654693624e-06	1.61540648570428e-08	-1.64281156705556
TMEM220	388335	3.34988193035014e-06	1.72049256037289e-08	-1.65243770072222
CDC42BPA	8476	3.42395534608601e-06	1.77711862550287e-08	-3.46317713572222
		3.42395534608601e-06	1.77972370329646e-08	-1.32790699038889
FLJ11710	79904	3.44971254061127e-06	1.80378521507164e-08	-2.59985144172222
SETBP1	26040	3.47262503022824e-06	1.82944626758144e-08	-2.08770019088889
CA13	377677	3.47262503022824e-06	1.83725404588048e-08	-1.70500914488889
PLSCR4	57088	3.9840558519788e-06	2.12016214393228e-08	-2.63607241572222
SLC8A3	6547	4.08346013504532e-06	2.18569537874088e-08	-1.40864501883333
CDKN2C	1031	4.1185919631455e-06	2.21724266448228e-08	1.86276054966667
TMEM246	84302	4.24880991010884e-06	2.3004911180627e-08	-1.23292611144444
C1orf21	81563	4.24923807583393e-06	2.31386993393389e-08	-2.58877799861111
RAB8A	4218	4.28130278178068e-06	2.3445765674799e-08	1.23809668661111
STK33	65975	4.76519938402074e-06	2.62431697767919e-08	-2.806782981
RYR3	6263	4.77873250062449e-06	2.6465552353324e-08	-1.39089895638889
		5.64060303639626e-06	3.15007541873252e-08	-1.67448235855556
TMEM98	26022	5.64060303639626e-06	3.15877958475209e-08	-2.28738022044444
TIMP1	7076	5.7647153395216e-06	3.24611921596773e-08	2.599794173
ZNF385D	79750	5.82348274890121e-06	3.30150973914258e-08	-1.87015214538889
FAM213A	84293	5.82348274890121e-06	3.31524651402439e-08	-2.34389552816667
MME	4311	5.89743222222055e-06	3.38811903569091e-08	-2.36484033022222
CSF2RA	1438	5.89743222222055e-06	3.39383804131376e-08	2.25169069527778
EVA1C	59271	6.47715015129016e-06	3.77816827269715e-08	-1.74697289283333
WARS	7453	6.47715015129016e-06	3.77825161710724e-08	2.47366436005556
CLPB	81570	6.47715015129016e-06	3.78757271926562e-08	1.29599474111111
ZNF354C	30832	6.58948791669494e-06	3.87365089004684e-08	-1.876411131
HAVCR2	84868	6.94575199257579e-06	4.10457173534846e-08	2.67119261111111
F2RL1	2150	7.0852059300486e-06	4.20890299981229e-08	-2.75399271505556
BMP6///BMP6	654///654	7.23848398082148e-06	4.32235205686255e-08	-1.98988094905556
MDGA2	161357	7.95422248215049e-06	4.77435463487267e-08	-1.26529799905556
SLC16A2	6567	8.0187011017309e-06	4.83786613915883e-08	-1.52765116861111
MIR23A	407010	8.23856718629456e-06	4.99600621426853e-08	-2.89549173122222
SMO	6608	8.62651751271633e-06	5.27963940023343e-08	-1.40617448022222
CD96	10225	8.62651751271633e-06	5.2846461047549e-08	5.40090039433333
IL13RA1	3597	8.65540625417249e-06	5.32912299922751e-08	3.79848389738889
TMEM63A	9725	9.41712688253363e-06	5.8272497030003e-08	-1.13942555477778
GPR21	2844	1.04758045176074e-05	6.51659690353604e-08	-3.09015923466667
SGMS2	166929	1.04758045176074e-05	6.55834323324114e-08	2.31581951472222
ARG2	384	1.04758045176074e-05	6.57958700867644e-08	-2.30269139277778
PDE3B	5140	1.0570523658541e-05	6.67178251397654e-08	3.03483725694445
TREM1	54210	1.08423911615108e-05	6.87692270693887e-08	3.94227688738889
ARMCX2	9823	1.11772703924906e-05	7.12390613178136e-08	-1.50707428522222
SHANK3	85358	1.14095476455611e-05	7.30725027886249e-08	-1.54914173394444
SERGEF	26297	1.15719287438659e-05	7.44705045859998e-08	-1.55922602894445
ATP6V1B2	526	1.19605353366461e-05	7.73414153447926e-08	1.25807904888889
ARSB	411	1.20899977330319e-05	7.85526290627361e-08	1.50635232777778
		1.21809761517163e-05	7.95206202782136e-08	-2.22522258183333
TMEM104	54868	1.26986102095417e-05	8.32999522106089e-08	1.61074137816667
WDR17	116966	1.26986102095417e-05	8.36856525055658e-08	-2.43799666372222
CDADC1	81602	1.29369453521539e-05	8.58825999997229e-08	-1.67071134261111
HIST1H2BJ	8970	1.29369453521539e-05	8.60568438697156e-08	-2.36772580705555
TPD52L2	7165	1.31260226592041e-05	8.77207046312952e-08	1.45938330444445
SSPN	8082	1.31331184728306e-05	8.81744595960597e-08	-2.27199150316667
SRGAP2D///SRGAP2C///SRGAP2B///SRGAP2	100996712///653464///647135///23380	1.33804404227242e-05	9.02489406934769e-08	1.93852107083334
PXK	54899	1.34915149725025e-05	9.14155434231007e-08	1.75014154961111
GGT7	2686	1.37250969328587e-05	9.34228930178184e-08	-0.982222107277781
LOC102724238///LOC554249///GLIDR	102724238///554249///389741	1.39082712873527e-05	9.51000264380726e-08	-1.22934292855556
RAPGEF3	10411	1.42075622222717e-05	9.75860528246128e-08	-1.15628972433333
CD33	945	1.45320991645375e-05	1.00264784929051e-07	2.76342909844444
ACTG1	71	1.46569213097506e-05	1.0157948000941e-07	0.857393391666665
		1.46927608362213e-05	1.02282453765347e-07	1.66753962511111
EIF3J-AS1	645212	1.58158780501801e-05	1.10590279983314e-07	-1.52707727927778
TSPAN2	10100	1.59558706385789e-05	1.12062827107992e-07	-3.28671068655556
PAWR	5074	1.59645129781337e-05	1.12617461062915e-07	-3.12392757722222
LOC100129940	100129940	1.61609442311324e-05	1.14503147456122e-07	-1.78699972788889
NEDD9	4739	1.63712993094025e-05	1.1650007243472e-07	2.22643796266667
KLHL3	26249	1.64396683771576e-05	1.17576903528569e-07	-1.680755546
CPD	1362	1.64396683771576e-05	1.18003869419281e-07	1.613452356
ITGAM	3684	1.70336968383176e-05	1.22794819570186e-07	3.01838330827778
FCER1G	2207	1.78515675357866e-05	1.29243117582193e-07	3.73918189561111
BAIAP3	8938	1.79436881522963e-05	1.30465230524725e-07	-1.43197157944444
UNC93B1	81622	1.80610103122681e-05	1.31877059301855e-07	1.80450802444444
SLC18A2	6571	1.83363620767391e-05	1.34454930608186e-07	-2.96111757938889
DMRTC1B///FAM226B///FAM226A///DMRTC1	728656///653687///203429///63947	2.0240932821936e-05	1.49335681181909e-07	-1.20987295444444
CHRNA5	1138	2.0240932821936e-05	1.49673059139343e-07	-2.59953386122222
AKT3	10000	2.18414476103872e-05	1.62183949336126e-07	-3.48438311033333
PTPN18	26469	2.191129904521e-05	1.63380559694799e-07	2.14806553161111
MYO5C	55930	2.24524924357957e-05	1.68110614444558e-07	-2.24146817372222
TAPT1-AS1	202020	2.25419382702808e-05	1.69477769861027e-07	-1.59221243755555
		2.30282438752672e-05	1.73846462224721e-07	-2.59531469377778
NT5DC3	51559	2.30430921433433e-05	1.74671500730766e-07	2.28589401133333
TMTC2	160335	2.38518609155109e-05	1.81540106593722e-07	2.155041363
SNX30	401548	2.50090385413329e-05	1.91390543784408e-07	1.63168191283333
SP140	11262	2.50090385413329e-05	1.91895100963787e-07	1.970577088
LAG3	3902	2.52007699518387e-05	1.94145964481539e-07	-1.2974006235
ROBO4	54538	2.54567808545267e-05	1.96905888234636e-07	-1.51598861416667
GPRASP1	9737	2.59970317176796e-05	2.01889018320521e-07	-1.68825946022222
IFI30	10437	2.64134983084515e-05	2.05940458950211e-07	3.04636958477778
CTSH	1512	2.71728086814506e-05	2.13520483968324e-07	3.02466021177778
ARHGAP19-SLIT1///ARHGAP19	100533184///84986	2.71728086814506e-05	2.13542074969477e-07	1.619234086
DPP9	91039	2.76915957274031e-05	2.1847581790439e-07	1.67753630655556
PRSS3P2///PRSS2///PRSS3P2///PRSS2	154754///5645///154754///5645	2.7824689930037e-05	2.2038676470683e-07	-2.26258954705556
HMGN2	3151	2.79653840289489e-05	2.22366377755635e-07	1.33345322611111
MIRLET7C	406885	2.83724104812241e-05	2.26480675231454e-07	-0.778305240333333
SEPT5-GP1BB	100526833	2.9299376475729e-05	2.34786625018218e-07	-2.3336607885
MED12L	116931	3.03649356035066e-05	2.44264820299858e-07	-2.89216043522222
RASSF9	9182	3.0610309214762e-05	2.47185752453602e-07	-1.44500066872222
NETO2	81831	3.11101231820491e-05	2.52184408703223e-07	3.87812040183334
LCP1	3936	3.11431588253461e-05	2.53415759755763e-07	1.08851804111111
SPAG5	10615	3.35434820605981e-05	2.73985311840534e-07	2.15802786205556
LYST	1130	3.41814669138214e-05	2.80253975191444e-07	2.164065035
IL17RA	23765	3.47589602033267e-05	2.86514024990412e-07	2.27797477283333
ARHGAP22	58504	3.47589602033267e-05	2.87139704040353e-07	-1.700199197
PLCB2	5330	3.64608923866886e-05	3.03259901919068e-07	1.36025346866666
GIPC2	54810	3.64608923866886e-05	3.03455340243781e-07	-2.0958105245
CACNB2	783	3.74165339888055e-05	3.12566572104127e-07	-1.764932342
		3.79966190946121e-05	3.18588031763865e-07	-2.19187522
GPR132	29933	3.83010724306511e-05	3.22325785128465e-07	1.94342437255556
LTBP4	8425	3.94269960815971e-05	3.33020943976858e-07	-1.10293657411111
BANF1	8815	4.05921662682925e-05	3.4411848511841e-07	1.48812055988888
ZNF106	64397	4.13646279532099e-05	3.53111090378986e-07	1.5946915765
FAM65C	140876	4.13646279532099e-05	3.53226611648338e-07	-1.7619729505
TPTEP1	387590	4.22838837864527e-05	3.62384697529389e-07	-2.57349238866667
PITPNM1	9600	4.25477786716624e-05	3.65962763241303e-07	1.35134574511111
SMARCA1	6594	4.28113035877931e-05	3.69553964945215e-07	-2.75265905927778
SV2A	9900	4.30022745331457e-05	3.72532931198935e-07	-1.81387533172222
SNHG16///SNORD1C///SNHG16	100507246///677850///100507246	4.3162749011307e-05	3.75258577153469e-07	-1.90756923833333
ACTB	60	4.48571309263225e-05	3.91377461131244e-07	1.20680185722222
GUCY1B3	2983	4.5317980088675e-05	3.96800481578387e-07	-2.64904138705556
CYBB	1536	4.53731000559289e-05	3.9938919398668e-07	4.50798640572222
		4.53731000559289e-05	4.00090761917631e-07	1.71587967972222
INPPL1	3636	4.60527615319373e-05	4.07508734201729e-07	1.00132000427778
NDUFA10	4705	4.60661972055938e-05	4.09052894341308e-07	-0.887545596055555
PBXIP1	57326	4.61562904148839e-05	4.11280951687342e-07	-1.93168316472222
CCL5	6352	4.7982386117798e-05	4.29037145757979e-07	2.9867176715
CECR1	51816	4.95870379954677e-05	4.44919433763981e-07	2.937215593
TRIB1	10221	5.07076679036576e-05	4.5654315646064e-07	2.6994676355
FANCD2	2177	5.1172046227265e-05	4.62307400710416e-07	1.76361529072222
NUP62CL	54830	5.58821492357123e-05	5.07567853924438e-07	-1.58139347911111
PINLYP	390940	5.58821492357123e-05	5.08318179366338e-07	-1.41340045111111
TPM2	7169	5.6399880519034e-05	5.15327670887536e-07	-1.61622302027778
		5.6399880519034e-05	5.16517577848274e-07	1.14356719055555
C10orf12	26148	5.80623837255948e-05	5.33539431530635e-07	1.69994605338889
ANAPC15	25906	5.80813333675109e-05	5.35510576514287e-07	1.86802896488889
CLDN15	24146	5.86093683174786e-05	5.42192417528111e-07	-1.15833782211111
		6.12123002116678e-05	5.68165900297031e-07	-1.79124846044444
STAB1	23166	6.18178926419058e-05	5.75699566387601e-07	2.46003234833333
PLAUR	5329	6.3204379953825e-05	5.90567208503919e-07	2.63837676227778
SYPL1	6856	6.32182353850237e-05	5.92652619710473e-07	-1.24755788772222
TARP	445347	6.37322381181461e-05	5.99443098540157e-07	4.39374550822222
DIAPH2	1730	6.4114149766747e-05	6.06728248935242e-07	1.48101882838889
MREG	55686	6.4114149766747e-05	6.07002562687559e-07	-2.27307081344444
		6.81535717837964e-05	6.4735455393167e-07	1.81363929388889
FSTL1	11167	6.88285927823679e-05	6.55895751275311e-07	-2.46893344483333
SPINK2	6691	6.93095040366203e-05	6.62622961768375e-07	-3.25460634505556
KCTD20	222658	6.98085776347918e-05	6.69554130960845e-07	0.833920495500002
GPR173	54328	7.28988165909528e-05	7.01448963824953e-07	-1.15290416505556
FEZ2	9637	7.31968174269402e-05	7.06581078469272e-07	1.23002558783333
		7.3946464885929e-05	7.16105427099898e-07	-1.76554035172222
		7.44999705504175e-05	7.23770636825318e-07	1.6613739595
ELOVL7	79993	7.57840823966734e-05	7.38590574392875e-07	-3.31844801422222
CD180	4064	7.59298406709443e-05	7.42360374122657e-07	3.50724342788889
KPNA6	23633	8.18730159359527e-05	8.02999475625662e-07	1.33336443216667
DOT1L	84444	8.378801464562e-05	8.24622258081811e-07	1.15812435311111
IQGAP3	128239	8.378801464562e-05	8.2696626564626e-07	1.49376035766667
TP53INP1	94241	8.38094167185622e-05	8.297705315411e-07	-1.48308771127778
CORO1A	11151	8.59159459853261e-05	8.53284819816518e-07	1.33554957505555
LOC400464	400464	8.61543732015339e-05	8.58318374149745e-07	-1.8256440165
NDRG1	10397	8.62760241588068e-05	8.62199678329711e-07	1.01341783105555
SCD	6319	8.88467246843154e-05	8.9063886630111e-07	-2.4003196505
PARP8	79668	8.9952967993695e-05	9.04511450696169e-07	2.19363706088889
ARF1	375	9.06900250352296e-05	9.14728757200732e-07	0.982237952222222
ABO	28	9.07993504495247e-05	9.18640747408637e-07	-1.958643252
C1orf132///MIR29C	100128537///407026	9.29531457432226e-05	9.43307193582408e-07	-2.48351618055556
TADA2B	93624	9.31459694068113e-05	9.48145909311003e-07	1.52605906516667
ZNF154	7710	9.40707158005591e-05	9.60469546554392e-07	-2.35200853355556
TAF5L	27097	9.49742144527817e-05	9.72632807891796e-07	1.02195218888889
ACTN1	87	0.00010070870116377	1.03447569030573e-06	2.10897223472222
CD109	135228	0.000101399493140962	1.04470874094057e-06	-3.16836670755556
		0.000101435782935507	1.04822101730946e-06	-1.12647406194444
PTPRD	5789	0.000102070423923857	1.05793731674428e-06	-1.51204840166667
KYNU	8942	0.000105776404900939	1.09962167156695e-06	3.60537783433333
DKFZP434L187	26082	0.000105939471187962	1.10459459145272e-06	-1.36768066461111
DPP3	10072	0.000106499464937474	1.11372850929322e-06	1.46012934122222
GATA3	2625	0.000107026369701789	1.12526445405604e-06	-1.50491306338889
CBL	867	0.000107026369701789	1.12671030126092e-06	1.25418066955556
FAM72A///FAM72D///FAM72B	729533///728833///653820	0.000107026369701789	1.12917273810557e-06	2.46111586072222
ITGB7	3695	0.000112075744326835	1.18591332445709e-06	2.36818975588889
NPR3	4883	0.000116292744212174	1.23413295581126e-06	-2.93673127844445
EIF5AL1///EIF5A	143244///1984	0.000120476389903379	1.28225853552682e-06	2.02313946516667
FAM129A	116496	0.000122025685762545	1.30252348590941e-06	1.93109744883333
BUB1B	701	0.000126905603432018	1.3585389928368e-06	1.98501710927778
DCUN1D1	54165	0.000127596822452967	1.3698863708171e-06	2.20619516077778
SUCNR1	56670	0.000131421425698137	1.41895097213284e-06	2.51295153988889
COPE	11316	0.000131421425698137	1.42146876168112e-06	1.08636099555556
RASGRP3	25780	0.000131421425698137	1.42314591115213e-06	3.06218649238889
TCEAL9	51186	0.000131432366320278	1.42733085543199e-06	-1.52499229172222
LRRC70	100130733	0.000131993865141037	1.43751246959083e-06	-2.70367413355555
