Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ubiquitin protein ligase binding (GO:0031625)	13/265	0.17675984998643332	0.757269964955646	0	0	1.3624063051146384	2.3610000547965004	PACRG;RALA;ABCB1;CAMLG;FANCL;DDX58;RPL23;FZD6;RNF8;LAPTM4B;UCHL1;CASP10;TRAF5
serine-type endopeptidase inhibitor activity (GO:0004867)	4/60	0.17720755933090085	0.757269964955646	0	0	1.8823241230648637	3.2572368744592195	SERPINE2;SPINT2;SERPINI1;SERPINB6
actinin binding (GO:0042805)	2/21	0.17868897959585053	0.757269964955646	0	0	2.771689826481388	4.773150688760233	PKD2;PROM1
sialyltransferase activity (GO:0008373)	2/21	0.17868897959585053	0.757269964955646	0	0	2.771689826481388	4.773150688760233	ST6GAL2;ST6GALNAC5
steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0033764)	2/21	0.17868897959585053	0.757269964955646	0	0	2.771689826481388	4.773150688760233	AKR1C1;HSD17B14
glucose transmembrane transporter activity (GO:0005355)	2/21	0.17868897959585053	0.757269964955646	0	0	2.771689826481388	4.773150688760233	SLC2A10;MFSD4B
E-box binding (GO:0070888)	3/41	0.18928640212007874	0.757269964955646	0	0	2.0795602018745494	3.4614155946605973	TAL1;HES1;GATA3
acetylcholine receptor activity (GO:0015464)	2/22	0.19206076667989208	0.757269964955646	0	0	2.63296853625171	4.344249227051552	CHRM3;CHRNA5
syntaxin-1 binding (GO:0017075)	2/22	0.19206076667989208	0.757269964955646	0	0	2.63296853625171	4.344249227051552	SYPL1;DAPK1
K63-linked polyubiquitin modification-dependent protein binding (GO:0070530)	2/22	0.19206076667989208	0.757269964955646	0	0	2.63296853625171	4.344249227051552	TAB2;OPTN
protein tyrosine/serine/threonine phosphatase activity (GO:0008138)	2/22	0.19206076667989208	0.757269964955646	0	0	2.63296853625171	4.344249227051552	DUSP18;DUSP16
sodium:bicarbonate symporter activity (GO:0008510)	1/6	0.20073197569630366	0.757269964955646	0	0	5.2628415300546445	8.450990486489752	SLC4A8
solute:bicarbonate symporter activity (GO:0140410)	1/6	0.20073197569630366	0.757269964955646	0	0	5.2628415300546445	8.450990486489752	SLC4A8
alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity (GO:0001665)	1/6	0.20073197569630366	0.757269964955646	0	0	5.2628415300546445	8.450990486489752	ST6GALNAC5
amidine-lyase activity (GO:0016842)	1/6	0.20073197569630366	0.757269964955646	0	0	5.2628415300546445	8.450990486489752	GGCT
supercoiled DNA binding (GO:0097100)	1/6	0.20073197569630366	0.757269964955646	0	0	5.2628415300546445	8.450990486489752	PSIP1
thiol oxidase activity (GO:0016972)	1/6	0.20073197569630366	0.757269964955646	0	0	5.2628415300546445	8.450990486489752	ERO1B
thyroid hormone transmembrane transporter activity (GO:0015349)	1/6	0.20073197569630366	0.757269964955646	0	0	5.2628415300546445	8.450990486489752	SLC16A2
aspartic endopeptidase activity, intramembrane cleaving (GO:0042500)	1/6	0.20073197569630366	0.757269964955646	0	0	5.2628415300546445	8.450990486489752	SPPL2B
bile acid:sodium symporter activity (GO:0008508)	1/6	0.20073197569630366	0.757269964955646	0	0	5.2628415300546445	8.450990486489752	SLC10A5
calcium:cation antiporter activity (GO:0015368)	1/6	0.20073197569630366	0.757269964955646	0	0	5.2628415300546445	8.450990486489752	SLC8A3
carnitine O-acyltransferase activity (GO:0016406)	1/6	0.20073197569630366	0.757269964955646	0	0	5.2628415300546445	8.450990486489752	CROT
cation:cation antiporter activity (GO:0015491)	1/6	0.20073197569630366	0.757269964955646	0	0	5.2628415300546445	8.450990486489752	SLC8A3
CoA carboxylase activity (GO:0016421)	1/6	0.20073197569630366	0.757269964955646	0	0	5.2628415300546445	8.450990486489752	ACACB
cyclic nucleotide-dependent protein kinase activity (GO:0004690)	1/6	0.20073197569630366	0.757269964955646	0	0	5.2628415300546445	8.450990486489752	PRKG1
dehydroascorbic acid transmembrane transporter activity (GO:0033300)	1/6	0.20073197569630366	0.757269964955646	0	0	5.2628415300546445	8.450990486489752	SLC2A10
dihydropyrimidinase activity (GO:0004157)	1/6	0.20073197569630366	0.757269964955646	0	0	5.2628415300546445	8.450990486489752	DPYSL3
dopamine receptor binding (GO:0050780)	1/6	0.20073197569630366	0.757269964955646	0	0	5.2628415300546445	8.450990486489752	GNA12
fructose binding (GO:0070061)	1/6	0.20073197569630366	0.757269964955646	0	0	5.2628415300546445	8.450990486489752	PFKM
G protein-coupled serotonin receptor binding (GO:0031821)	1/6	0.20073197569630366	0.757269964955646	0	0	5.2628415300546445	8.450990486489752	GNAI1
malate dehydrogenase activity (GO:0016615)	1/6	0.20073197569630366	0.757269964955646	0	0	5.2628415300546445	8.450990486489752	ME3
MHC class II protein binding (GO:0042289)	1/6	0.20073197569630366	0.757269964955646	0	0	5.2628415300546445	8.450990486489752	LAG3
phosphatidylethanolamine flippase activity (GO:0090555)	1/6	0.20073197569630366	0.757269964955646	0	0	5.2628415300546445	8.450990486489752	ABCB1
phosphatidylinositol phospholipase C activity (GO:0004435)	2/23	0.2055567302414348	0.757269964955646	0	0	2.5074587974724776	3.9668831243450047	CHRM3;PLCB4
pyrophosphate hydrolysis-driven proton transmembrane transporter activity (GO:0009678)	2/23	0.2055567302414348	0.757269964955646	0	0	2.5074587974724776	3.9668831243450047	ATP6V0A2;ATP2C1
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	5/87	0.2142800328679406	0.757269964955646	0	0	1.6068915840257303	2.4753707764881683	SDR42E1;HIBADH;AKR1C1;ME3;HMGCR
alpha-actinin binding (GO:0051393)	2/24	0.21914985431611114	0.757269964955646	0	0	2.3933590349459024	3.633117858781321	PALLD;PKD2
cell adhesion mediator activity (GO:0098631)	2/24	0.21914985431611114	0.757269964955646	0	0	2.3933590349459024	3.633117858781321	ROBO4;PALLD
ribosomal protein S6 kinase activity (GO:0004711)	1/7	0.23003389880228914	0.757269964955646	0	0	4.385473588342441	6.444578839907159	RPS6KA6
RNA polymerase II CTD heptapeptide repeat phosphatase activity (GO:0008420)	1/7	0.23003389880228914	0.757269964955646	0	0	4.385473588342441	6.444578839907159	CTDSPL
acid-amino acid ligase activity (GO:0016881)	1/7	0.23003389880228914	0.757269964955646	0	0	4.385473588342441	6.444578839907159	PPCS
succinate transmembrane transporter activity (GO:0015141)	1/7	0.23003389880228914	0.757269964955646	0	0	4.385473588342441	6.444578839907159	SLC25A30
SUMO-specific protease activity (GO:0016929)	1/7	0.23003389880228914	0.757269964955646	0	0	4.385473588342441	6.444578839907159	SENP7
voltage-gated channel activity (GO:0022832)	1/7	0.23003389880228914	0.757269964955646	0	0	4.385473588342441	6.444578839907159	PKD2
fatty acid elongase activity (GO:0009922)	1/7	0.23003389880228914	0.757269964955646	0	0	4.385473588342441	6.444578839907159	ELOVL7
G protein-coupled acetylcholine receptor activity (GO:0016907)	1/7	0.23003389880228914	0.757269964955646	0	0	4.385473588342441	6.444578839907159	CHRM3
G protein-coupled neurotransmitter receptor activity (GO:0099528)	1/7	0.23003389880228914	0.757269964955646	0	0	4.385473588342441	6.444578839907159	CHRM3
histone-arginine N-methyltransferase activity (GO:0008469)	1/7	0.23003389880228914	0.757269964955646	0	0	4.385473588342441	6.444578839907159	PRMT2
manganese ion transmembrane transporter activity (GO:0005384)	1/7	0.23003389880228914	0.757269964955646	0	0	4.385473588342441	6.444578839907159	ATP2C1
oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor (GO:0016670)	1/7	0.23003389880228914	0.757269964955646	0	0	4.385473588342441	6.444578839907159	ERO1B
patched binding (GO:0005113)	1/7	0.23003389880228914	0.757269964955646	0	0	4.385473588342441	6.444578839907159	SMO
peroxisome proliferator activated receptor binding (GO:0042975)	1/7	0.23003389880228914	0.757269964955646	0	0	4.385473588342441	6.444578839907159	PRMT2
phosphatidic acid transfer activity (GO:1990050)	1/7	0.23003389880228914	0.757269964955646	0	0	4.385473588342441	6.444578839907159	PRELID2
phosphatidylinositol 3-kinase regulatory subunit binding (GO:0036312)	1/7	0.23003389880228914	0.757269964955646	0	0	4.385473588342441	6.444578839907159	NLRC3
phosphofructokinase activity (GO:0008443)	1/7	0.23003389880228914	0.757269964955646	0	0	4.385473588342441	6.444578839907159	PFKM
phospholipid scramblase activity (GO:0017128)	1/7	0.23003389880228914	0.757269964955646	0	0	4.385473588342441	6.444578839907159	PLSCR4
pyrimidine nucleoside transmembrane transporter activity (GO:0015214)	1/7	0.23003389880228914	0.757269964955646	0	0	4.385473588342441	6.444578839907159	SLC29A2
phospholipase C activity (GO:0004629)	2/25	0.2328149314694671	0.757269964955646	0	0	2.289180990899899	3.3365074517167943	CHRM3;PLCB4
ubiquitin-like protein ligase binding (GO:0044389)	13/282	0.23683818628172235	0.757269964955646	0	0	1.2751652209830648	1.8367200955959184	PACRG;RALA;ABCB1;CAMLG;FANCL;DDX58;RPL23;FZD6;RNF8;LAPTM4B;UCHL1;CASP10;TRAF5
phosphatidylinositol binding (GO:0035091)	5/92	0.2480897761459563	0.757269964955646	0	0	1.5141467727674625	2.1106669970125838	SH3YL1;MREG;PARD3;MITD1;PARD3B
acetylcholine receptor binding (GO:0033130)	1/8	0.25826299681387116	0.757269964955646	0	0	3.758782201405152	5.088552312543904	RIC3
aldehyde-lyase activity (GO:0016832)	1/8	0.25826299681387116	0.757269964955646	0	0	3.758782201405152	5.088552312543904	ALDOC
solute:cation antiporter activity (GO:0015298)	1/8	0.25826299681387116	0.757269964955646	0	0	3.758782201405152	5.088552312543904	SLC8A3
androsterone dehydrogenase activity (GO:0047023)	1/8	0.25826299681387116	0.757269964955646	0	0	3.758782201405152	5.088552312543904	AKR1C1
arginine N-methyltransferase activity (GO:0016273)	1/8	0.25826299681387116	0.757269964955646	0	0	3.758782201405152	5.088552312543904	PRMT2
ubiquitin ligase inhibitor activity (GO:1990948)	1/8	0.25826299681387116	0.757269964955646	0	0	3.758782201405152	5.088552312543904	RPL23
cAMP-dependent protein kinase inhibitor activity (GO:0004862)	1/8	0.25826299681387116	0.757269964955646	0	0	3.758782201405152	5.088552312543904	PKIA
coreceptor activity involved in Wnt signaling pathway (GO:0071936)	1/8	0.25826299681387116	0.757269964955646	0	0	3.758782201405152	5.088552312543904	LRP6
estradiol 17-beta-dehydrogenase activity (GO:0004303)	1/8	0.25826299681387116	0.757269964955646	0	0	3.758782201405152	5.088552312543904	HSD17B14
ether hydrolase activity (GO:0016803)	1/8	0.25826299681387116	0.757269964955646	0	0	3.758782201405152	5.088552312543904	EPHX2
nucleoside transmembrane transporter activity (GO:0005337)	1/8	0.25826299681387116	0.757269964955646	0	0	3.758782201405152	5.088552312543904	SLC29A2
O-acetyltransferase activity (GO:0016413)	1/8	0.25826299681387116	0.757269964955646	0	0	3.758782201405152	5.088552312543904	CASD1
peptidyl-proline 4-dioxygenase activity (GO:0031545)	1/8	0.25826299681387116	0.757269964955646	0	0	3.758782201405152	5.088552312543904	EGLN3
poly(G) binding (GO:0034046)	1/8	0.25826299681387116	0.757269964955646	0	0	3.758782201405152	5.088552312543904	ATXN1
retinal dehydrogenase activity (GO:0001758)	1/8	0.25826299681387116	0.757269964955646	0	0	3.758782201405152	5.088552312543904	ALDH1A1
ADP binding (GO:0043531)	2/27	0.26026858626604854	0.757269964955646	0	0	2.105827633378933	2.834530664220501	MYH10;ABCG1
glutathione transferase activity (GO:0004364)	2/27	0.26026858626604854	0.757269964955646	0	0	2.105827633378933	2.834530664220501	GSTM3;GSTM5
guanyl ribonucleotide binding (GO:0032561)	10/214	0.2606540619489031	0.757269964955646	0	0	1.2924768801019717	1.7378142441622788	RALA;ATL1;MPPED2;RAB13;RHOH;RAPGEF2;RAB38;GIMAP7;GNAI1;GBP4
exonuclease activity (GO:0004527)	3/49	0.26712201805808633	0.757269964955646	0	0	1.717182846932698	2.2667667508796336	EXD2;REXO2;REXO4
thyroid hormone receptor binding (GO:0046966)	2/28	0.2740149504764603	0.757269964955646	0	0	2.024729032936967	2.62115874931923	PRMT2;TRIP6
tumor necrosis factor receptor superfamily binding (GO:0032813)	2/28	0.2740149504764603	0.757269964955646	0	0	2.024729032936967	2.62115874931923	TNFSF4;TRAF5
poly-purine tract binding (GO:0070717)	2/28	0.2740149504764603	0.757269964955646	0	0	2.024729032936967	2.62115874931923	ATXN1;RBPMS
ATPase binding (GO:0051117)	4/73	0.2789809588523234	0.757269964955646	0	0	1.5266495695910618	1.9489387745976061	RALA;TRPC1;ATP6V0A2;PKD2
single-stranded DNA exodeoxyribonuclease activity (GO:0008297)	1/9	0.2854584967548088	0.757269964955646	0	0	3.2887636612021858	4.122986948656873	EXD2
sodium:chloride symporter activity (GO:0015378)	1/9	0.2854584967548088	0.757269964955646	0	0	3.2887636612021858	4.122986948656873	SLC18A2
aryl sulfotransferase activity (GO:0004062)	1/9	0.2854584967548088	0.757269964955646	0	0	3.2887636612021858	4.122986948656873	SULT1C4
bile acid binding (GO:0032052)	1/9	0.2854584967548088	0.757269964955646	0	0	3.2887636612021858	4.122986948656873	AKR1C1
tRNA (cytosine) methyltransferase activity (GO:0016427)	1/9	0.2854584967548088	0.757269964955646	0	0	3.2887636612021858	4.122986948656873	METTL6
ubiquitin-protein transferase inhibitor activity (GO:0055105)	1/9	0.2854584967548088	0.757269964955646	0	0	3.2887636612021858	4.122986948656873	RPL23
cytidylyltransferase activity (GO:0070567)	1/9	0.2854584967548088	0.757269964955646	0	0	3.2887636612021858	4.122986948656873	PCYT1B
glucocorticoid receptor binding (GO:0035259)	1/9	0.2854584967548088	0.757269964955646	0	0	3.2887636612021858	4.122986948656873	NRIP1
growth hormone receptor binding (GO:0005131)	1/9	0.2854584967548088	0.757269964955646	0	0	3.2887636612021858	4.122986948656873	SOCS2
intramolecular transferase activity, phosphotransferases (GO:0016868)	1/9	0.2854584967548088	0.757269964955646	0	0	3.2887636612021858	4.122986948656873	PGM5
monoamine transmembrane transporter activity (GO:0008504)	1/9	0.2854584967548088	0.757269964955646	0	0	3.2887636612021858	4.122986948656873	SLC18A2
P-type calcium transporter activity (GO:0005388)	1/9	0.2854584967548088	0.757269964955646	0	0	3.2887636612021858	4.122986948656873	ATP2C1
polyubiquitin modification-dependent protein binding (GO:0031593)	3/51	0.2872008484920241	0.757269964955646	0	0	1.6454623287671233	2.0528351759725623	TAB2;OPTN;DZIP3
cation channel activity (GO:0005261)	5/98	0.29026686953868625	0.757269964955646	0	0	1.4160167789200047	1.7515483825149794	CACNB2;TMEM63A;TRPC1;TMEM38B;PKD2
aldo-keto reductase (NADP) activity (GO:0004033)	1/10	0.31165819341163287	0.757269964955646	0	0	2.9231936854887675	3.408000171445728	AKR1C1
store-operated calcium channel activity (GO:0015279)	1/10	0.31165819341163287	0.757269964955646	0	0	2.9231936854887675	3.408000171445728	TRPC1
calcium:sodium antiporter activity (GO:0005432)	1/10	0.31165819341163287	0.757269964955646	0	0	2.9231936854887675	3.408000171445728	SLC8A3
cAMP-dependent protein kinase regulator activity (GO:0008603)	1/10	0.31165819341163287	0.757269964955646	0	0	2.9231936854887675	3.408000171445728	PKIA
cardiolipin binding (GO:1901612)	1/10	0.31165819341163287	0.757269964955646	0	0	2.9231936854887675	3.408000171445728	MME
cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:0097199)	1/10	0.31165819341163287	0.757269964955646	0	0	2.9231936854887675	3.408000171445728	CASP10
endopeptidase activator activity (GO:0061133)	1/10	0.31165819341163287	0.757269964955646	0	0	2.9231936854887675	3.408000171445728	APH1B
fatty acid synthase activity (GO:0004312)	1/10	0.31165819341163287	0.757269964955646	0	0	2.9231936854887675	3.408000171445728	ELOVL7
high voltage-gated calcium channel activity (GO:0008331)	1/10	0.31165819341163287	0.757269964955646	0	0	2.9231936854887675	3.408000171445728	CACNB2
